,Unnamed: 0,title,ingredients,directions,site,directions_text
0,0,No-Bake Nut Cookies,"('1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits')","('In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine.', 'Stir over medium heat until mixture bubbles all over top.', 'Boil and stir 5 minutes more. Take off heat.', 'Stir in vanilla and cereal; mix well.', 'Using 2 teaspoons, drop and shape into 30 clusters on wax paper.', 'Let stand until firm, about 30 minutes.')",www.cookbooks.com,"In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine.
Stir over medium heat until mixture bubbles all over top.
Boil and stir 5 minutes more. Take off heat.
Stir in vanilla and cereal; mix well.
Using 2 teaspoons, drop and shape into 30 clusters on wax paper.
Let stand until firm, about 30 minutes."
1,1,Jewell Ball'S Chicken,"('1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream')","('Place chipped beef on bottom of baking dish.', 'Place chicken on top of beef.', 'Mix soup and cream together; pour over chicken. Bake, uncovered, at 275° for 3 hours.')",www.cookbooks.com,"Place chipped beef on bottom of baking dish.
Place chicken on top of beef.
Mix soup and cream together; pour over chicken. Bake, uncovered, at 275° for 3 hours."
2,2,Creamy Corn,"('2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper')","('In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings.',)",www.cookbooks.com,"In a slow cooker, combine all ingredients. Cover and cook on low for 4 hours or until heated through and cheese is melted. Stir well before serving. Yields 6 servings."
3,3,Chicken Funny,"('1 large whole chicken', '2 (10 1/2 oz.) cans chicken gravy', '1 (10 1/2 oz.) can cream of mushroom soup', '1 (6 oz.) box Stove Top stuffing', '4 oz. shredded cheese')","('Boil and debone chicken.', 'Put bite size pieces in average size square casserole dish.', 'Pour gravy and cream of mushroom soup over chicken; level.', 'Make stuffing according to instructions on box (do not make too moist).', 'Put stuffing on top of chicken and gravy; level.', 'Sprinkle shredded cheese on top and bake at 350° for approximately 20 minutes or until golden and bubbly.')",www.cookbooks.com,"Boil and debone chicken.
Put bite size pieces in average size square casserole dish.
Pour gravy and cream of mushroom soup over chicken; level.
Make stuffing according to instructions on box (do not make too moist).
Put stuffing on top of chicken and gravy; level.
Sprinkle shredded cheese on top and bake at 350° for approximately 20 minutes or until golden and bubbly."
4,4,Reeses Cups(Candy)  ,"('1 c. peanut butter', '3/4 c. graham cracker crumbs', '1 c. melted butter', '1 lb. (3 1/2 c.) powdered sugar', '1 large pkg. chocolate chips')","('Combine first four ingredients and press in 13 x 9-inch ungreased pan.', 'Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard.', 'Keep in refrigerator.')",www.cookbooks.com,"Combine first four ingredients and press in 13 x 9-inch ungreased pan.
Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard.
Keep in refrigerator."
5,5,Cheeseburger Potato Soup,"('6 baking potatoes', '1 lb. of extra lean ground beef', '2/3 c. butter or margarine', '6 c. milk', '3/4 tsp. salt', '1/2 tsp. pepper', '1 1/2 c (6 oz.) shredded Cheddar cheese, divided', '12 sliced bacon, cooked, crumbled and divided', '4 green onion, chopped and divided', '1 (8 oz.) carton sour cream (optional)')","('Wash potatoes; prick several times with a fork.', 'Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes.', 'The potatoes should be soft, ready to eat.', 'Let them cool enough to handle.', 'Cut in half lengthwise; scoop out pulp and reserve.', 'Discard shells.', 'Brown ground beef until done.', 'Drain any grease from the meat.', 'Set aside when done.', 'Meat will be added later.', 'Melt butter in a large kettle over low heat; add flour, stirring until smooth.', 'Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly.', 'Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon.', 'Cook until heated (do not boil).', 'Stir in sour cream if desired; cook until heated (do not boil).', 'Sprinkle with remaining cheese, bacon and green onions.')",www.cookbooks.com,"Wash potatoes; prick several times with a fork.
Microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes.
The potatoes should be soft, ready to eat.
Let them cool enough to handle.
Cut in half lengthwise; scoop out pulp and reserve.
Discard shells.
Brown ground beef until done.
Drain any grease from the meat.
Set aside when done.
Meat will be added later.
Melt butter in a large kettle over low heat; add flour, stirring until smooth.
Cook 1 minute, stirring constantly. Gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly.
Stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon.
Cook until heated (do not boil).
Stir in sour cream if desired; cook until heated (do not boil).
Sprinkle with remaining cheese, bacon and green onions."
6,6,Rhubarb Coffee Cake,"('1 1/2 c. sugar', '1/2 c. butter', '1 egg', '1 c. buttermilk', '2 c. flour', '1/2 tsp. salt', '1 tsp. soda', '1 c. buttermilk', '2 c. rhubarb, finely cut', '1 tsp. vanilla')","('Cream sugar and butter.', 'Add egg and beat well.', 'To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda.', 'Mix well.', 'Add rhubarb and vanilla.', 'Pour into greased 9 x 13-inch pan and add Topping.')",www.cookbooks.com,"Cream sugar and butter.
Add egg and beat well.
To creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda.
Mix well.
Add rhubarb and vanilla.
Pour into greased 9 x 13-inch pan and add Topping."
7,7,Scalloped Corn,"('1 can cream-style corn', '1 can whole kernel corn', '1/2 pkg. (approximately 20) saltine crackers, crushed', '1 egg, beaten', '6 tsp. butter, divided', 'pepper to taste')","('Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish.', 'Dot with remaining 4 teaspoons of butter.', 'Bake at 350° for 1 hour.')",www.cookbooks.com,"Mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish.
Dot with remaining 4 teaspoons of butter.
Bake at 350° for 1 hour."
8,8,Nolan'S Pepper Steak,"('1 1/2 lb. round steak (1-inch thick), cut into strips', '1 can drained tomatoes, cut up (save liquid)', '1 3/4 c. water', '1/2 c. onions', '1 1/2 Tbsp. Worcestershire sauce', '2 green peppers, diced', '1/4 c. oil')","('Roll steak strips in flour.', 'Brown in skillet.', 'Salt and pepper.', 'Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours.', 'Uncover and stir in Worcestershire sauce.', 'Add tomatoes, green peppers and simmer for 5 minutes.', 'Serve over hot cooked rice.')",www.cookbooks.com,"Roll steak strips in flour.
Brown in skillet.
Salt and pepper.
Combine tomato liquid, water, onions and browned steak. Cover and simmer for one and a quarter hours.
Uncover and stir in Worcestershire sauce.
Add tomatoes, green peppers and simmer for 5 minutes.
Serve over hot cooked rice."
9,9,Millionaire Pie,"('1 large container Cool Whip', '1 large can crushed pineapple', '1 can condensed milk', '3 lemons', '1 c. pecans', '2 graham cracker crusts')","('Empty Cool Whip into a bowl.', 'Drain juice from pineapple.', 'Mix Cool Whip and pineapple.', 'Add condensed milk.', 'Squeeze lemons, remove seeds and add to Cool Whip and pineapple.', 'Chop nuts into small pieces and add to mixture.', 'Stir all ingredients together and mix well.', 'Pour into a graham cracker crust.', 'Use top from crust to cover top of pie.', 'Chill overnight.', 'Makes 2 pies.')",www.cookbooks.com,"Empty Cool Whip into a bowl.
Drain juice from pineapple.
Mix Cool Whip and pineapple.
Add condensed milk.
Squeeze lemons, remove seeds and add to Cool Whip and pineapple.
Chop nuts into small pieces and add to mixture.
Stir all ingredients together and mix well.
Pour into a graham cracker crust.
Use top from crust to cover top of pie.
Chill overnight.
Makes 2 pies."
